,thema,date,score
0,039130,2020.12.24,50
1,039130,2020-12-23,70
2,039130,2020-12-16,54
3,039130,2020-12-10,80
4,039130,2020.12.08,88
5,039130,2020.12.07,92
6,039130,2020-12-05,85
7,039130,2020-12-04,84
8,039130,2020-12-03,74
9,039130,2020-11-28,25
10,039130,2020-11-26,92
11,039130,2020-11-25,73
12,039130,2020-11-24,82
13,039130,2020-11-21,60
14,039130,2020.11.20,56
15,039130,2020-11-20,82
16,039130,2020.11.16,30
17,039130,2020-11-16,31
18,039130,2020.11.13,54
19,039130,2020.11.11,74
20,039130,2020-11-11,68
21,039130,2020.11.05,44
22,039130,2020-10-31,78
23,039130,2020-10-30,75
24,039130,2020-10-29,83
25,039130,2020.10.28,59
26,039130,2020-10-28,64
27,039130,2020-10-24,72
28,039130,2020.10.14,73
29,039130,2020-10-14,24
30,039130,2020-10-13,56
31,039130,2020-09-24,67
32,039130,2020.09.21,87
33,039130,2020.09.07,76
34,039130,2020.09.02,50
35,039130,2020-08-31,81
36,039130,2020-08-28,70
37,039130,2020.08.25,80
38,039130,2020-08-21,90
39,039130,2020-08-20,53
40,039130,2020-08-19,61
41,039130,2020-08-14,58
42,039130,2020-08-12,14
43,039130,2020-08-04,60
44,039130,2020.07.25,43
45,039130,2020-07-25,39
46,039130,2020.07.24,58
47,039130,2020-07-23,75
48,039130,2020.07.18,49
49,039130,2020.07.16,38
50,039130,2020.07.02,48
51,039130,2020-07-02,90
52,039130,2020-07-01,84
