,thema,date,score
0,080160,2020-12-23,70
1,080160,2020-12-16,82
2,080160,2020-12-10,80
3,080160,2020.12.08,88
4,080160,2020-12-04,84
5,080160,2020-11-26,81
6,080160,2020-11-24,82
7,080160,2020-11-21,60
8,080160,2020-11-20,82
9,080160,2020-11-18,84
10,080160,2020.11.11,80
11,080160,2020-11-11,70
12,080160,2020.11.05,64
13,080160,2020-11-05,67
14,080160,2020-10-30,74
15,080160,2020.10.27,37
16,080160,2020-10-24,72
17,080160,2020-10-14,60
18,080160,2020-10-13,56
19,080160,2020-08-28,70
20,080160,2020-08-19,59
21,080160,2020-08-14,58
22,080160,2020.08.10,36
23,080160,2020.08.07,55
24,080160,2020-08-07,55
25,080160,2020.08.04,52
26,080160,2020-07-23,75
27,080160,2020.07.18,49
28,080160,2020.07.16,50
29,080160,2020.07.10,56
30,080160,2020.07.09,42
31,080160,2020.07.02,48
32,080160,2020-07-01,84
