,thema,date,score
0,180640,2020-12-24,57
1,180640,2020-12-23,51
2,180640,2020.12.19,83
3,180640,2020-12-19,65
4,180640,2020.12.18,62
5,180640,2020-12-16,52
6,180640,2020.12.14,69
7,180640,2020-12-12,42
8,180640,2020-12-11,55
9,180640,2020-12-10,73
10,180640,2020.12.08,81
11,180640,2020-12-08,63
12,180640,2020-12-05,28
13,180640,2020.12.04,50
14,180640,2020-12-04,52
15,180640,2020.12.03,78
16,180640,2020-12-03,57
17,180640,2020.12.02,72
18,180640,2020-12-02,57
19,180640,2020.12.01,57
20,180640,2020-12-01,51
21,180640,2020.11.30,33
22,180640,2020-11-30,41
23,180640,2020-11-28,52
24,180640,2020.11.27,44
25,180640,2020-11-27,51
26,180640,2020-11-26,41
27,180640,2020.11.25,36
28,180640,2020-11-25,37
29,180640,2020.11.24,67
30,180640,2020-11-24,43
31,180640,2020.11.23,48
32,180640,2020-11-21,51
33,180640,2020-11-23,31
34,180640,2020-11-22,45
35,180640,2020.11.21,57
36,180640,2020-11-20,43
