,thema,date,score
0,003490,2020-12-24,57
1,003490,2020-12-23,59
2,003490,2020-12-19,43
3,003490,2020.12.18,60
4,003490,2020-12-18,72
5,003490,2020-12-17,40
6,003490,2020-12-16,58
7,003490,2020-12-15,38
8,003490,2020.12.14,69
9,003490,2020-12-14,61
10,003490,2020-12-13,75
11,003490,2020-12-12,47
12,003490,2020-12-11,56
13,003490,2020.12.10,84
14,003490,2020-12-10,66
15,003490,2020.12.09,92
16,003490,2020-12-09,79
17,003490,2020.12.08,58
18,003490,2020-12-08,54
19,003490,2020.12.06,70
20,003490,2020.12.05,58
21,003490,2020-12-05,60
22,003490,2020-12-04,47
23,003490,2020.12.03,62
24,003490,2020-12-03,52
25,003490,2020.12.02,72
26,003490,2020-12-02,58
27,003490,2020.12.01,61
28,003490,2020-12-01,57
29,003490,2020.11.30,45
30,003490,2020-11-30,53
31,003490,2020.11.28,70
32,003490,2020-11-28,50
33,003490,2020.11.27,56
34,003490,2020-11-27,52
35,003490,2020-11-26,39
36,003490,2020.11.25,44
37,003490,2020-11-25,48
38,003490,2020.11.24,73
39,003490,2020-11-24,48
40,003490,2020.11.23,59
41,003490,2020-11-23,58
42,003490,2020.11.22,70
43,003490,2020-11-22,39
44,003490,2020.11.21,59
45,003490,2020-11-21,50
46,003490,2020.11.20,60
47,003490,2020-11-20,47
48,003490,2020.11.19,69
