,thema,date,score
0,035080,2020-12-24,91
1,035080,2020.12.22,94
2,035080,2020-12-22,90
3,035080,2020.12.17,95
4,035080,2020-12-16,75
5,035080,2020-12-12,48
6,035080,2020-12-11,75
7,035080,2020-12-10,93
8,035080,2020-12-08,83
9,035080,2020-12-05,59
10,035080,2020-12-02,77
11,035080,2020.12.01,93
12,035080,2020-11-30,5
13,035080,2020.11.25,61
14,035080,2020-11-25,97
15,035080,2020-11-23,65
16,035080,2020-11-19,84
17,035080,2020-11-18,40
18,035080,2020-11-14,94
19,035080,2020-11-13,85
20,035080,2020.11.11,83
21,035080,2020.11.10,81
22,035080,2020-11-10,70
23,035080,2020.11.09,16
24,035080,2020-11-07,55
25,035080,2020.11.06,80
26,035080,2020-11-06,69
27,035080,2020.11.04,64
28,035080,2020-11-03,96
29,035080,2020-11-02,84
30,035080,2020.11.01,23
31,035080,2020.10.31,100
32,035080,2020.10.30,60
33,035080,2020.10.29,50
34,035080,2020.10.28,83
35,035080,2020.10.26,82
36,035080,2020.10.25,82
37,035080,2020.10.22,57
38,035080,2020.10.21,100
39,035080,2020-10-21,82
40,035080,2020-10-20,75
41,035080,2020-10-17,71
42,035080,2020.10.16,67
43,035080,2020.10.15,83
44,035080,2020.10.10,64
45,035080,2020-10-08,87
46,035080,2020.10.07,78
47,035080,2020-10-07,68
48,035080,2020-09-29,34
49,035080,2020-09-26,72
50,035080,2020.09.25,91
51,035080,2020-09-24,61
52,035080,2020.09.23,86
53,035080,2020-09-21,66
54,035080,2020.09.19,90
55,035080,2020-09-18,81
56,035080,2020.09.16,53
57,035080,2020-09-16,75
58,035080,2020-09-11,89
59,035080,2020.09.09,85
60,035080,2020-09-09,83
61,035080,2020.09.08,85
62,035080,2020-09-08,85
63,035080,2020-09-05,60
64,035080,2020-08-27,79
65,035080,2020-08-20,85
66,035080,2020.08.19,80
67,035080,2020.08.18,80
68,035080,2020.08.13,95
69,035080,2020-08-13,82
70,035080,2020-08-11,96
71,035080,2020.08.10,50
72,035080,2020-08-10,0
73,035080,2020.08.08,81
74,035080,2020-08-08,49
75,035080,2020-08-07,60
76,035080,2020.08.06,82
77,035080,2020-08-05,76
78,035080,2020.08.03,95
79,035080,2020.07.31,86
80,035080,2020.07.29,82
81,035080,2020.07.28,100
82,035080,2020.07.26,58
83,035080,2020.07.17,87
84,035080,2020-07-16,66
85,035080,2020.07.14,94
86,035080,2020-07-14,91
87,035080,2020.07.10,86
88,035080,2020-07-09,12
89,035080,2020.07.03,62
90,035080,2020-07-03,57
91,035080,2020-07-02,59
92,035080,2020-07-01,25
93,035080,2020-06-30,50
94,035080,2020.06.25,95
95,035080,2020-06-25,77
