,thema,date,score
0,005610,2020-12-24,64
1,005610,2020.12.23,55
2,005610,2020.12.22,42
3,005610,2020-12-17,71
4,005610,2020.12.16,68
5,005610,2020-12-14,81
6,005610,2020-11-26,57
7,005610,2020-11-17,50
8,005610,2020-11-11,71
9,005610,2020-10-19,75
10,005610,2020.10.17,86
11,005610,2020-10-07,81
12,005610,2020.10.01,85
13,005610,2020.09.24,93
14,005610,2020.09.23,60
15,005610,2020-09-15,94
16,005610,2020-09-12,33
17,005610,2020.09.10,78
18,005610,2020-09-03,90
19,005610,2020-09-01,92
20,005610,2020-08-29,86
21,005610,2020.08.25,100
22,005610,2020.08.21,55
23,005610,2020.08.18,52
24,005610,2020.08.16,60
25,005610,2020-08-09,57
26,005610,2020.08.07,64
27,005610,2020-08-07,68
28,005610,2020-08-06,55
29,005610,2020-07-30,80
30,005610,2020-07-22,100
31,005610,2020.07.10,56
32,005610,2020-07-08,87
33,005610,2020.07.07,98
34,005610,2020.07.01,100
35,005610,2020.06.25,88
