,thema,date,score
0,004690,2020-12-10,71
1,004690,2020.12.09,58
2,004690,2020-12-04,93
3,004690,2020-11-24,88
4,004690,2020.11.19,63
5,004690,2020.11.17,80
6,004690,2020.11.11,82
7,004690,2020-11-05,92
8,004690,2020-11-04,73
9,004690,2020-11-02,73
10,004690,2020-10-23,64
11,004690,2020.09.27,31
12,004690,2020-09-18,79
13,004690,2020.09.15,62
14,004690,2020-09-15,64
15,004690,2020-09-10,82
16,004690,2020-09-05,81
17,004690,2020.08.27,26
18,004690,2020.08.25,59
19,004690,2020-08-25,59
20,004690,2020-08-01,82
