,thema,date,score
0,071320,2020-12-23,93
1,071320,2020-12-15,85
2,071320,2020-12-12,70
3,071320,2020-12-05,66
4,071320,2020-11-26,57
5,071320,2020.11.19,86
6,071320,2020-11-14,85
7,071320,2020.11.12,58
8,071320,2020-11-12,49
9,071320,2020-11-10,88
10,071320,2020-11-09,81
11,071320,2020-11-04,73
12,071320,2020-10-31,84
13,071320,2020-10-30,61
14,071320,2020-10-27,72
15,071320,2020-10-23,80
16,071320,2020-10-22,63
17,071320,2020.10.20,12
18,071320,2020.10.17,80
19,071320,2020-10-16,60
20,071320,2020-10-15,65
21,071320,2020-10-12,49
22,071320,2020-10-09,72
23,071320,2020-10-08,56
24,071320,2020-10-07,86
25,071320,2020-10-03,67
26,071320,2020-09-29,66
27,071320,2020-09-26,62
28,071320,2020-09-25,55
29,071320,2020-09-24,61
30,071320,2020-09-23,75
31,071320,2020-09-18,16
32,071320,2020.09.15,70
33,071320,2020-09-08,82
34,071320,2020-09-02,87
35,071320,2020-09-01,69
36,071320,2020-08-26,66
37,071320,2020-08-20,79
38,071320,2020-08-19,80
39,071320,2020-08-04,100
40,071320,2020.08.03,74
41,071320,2020-07-30,43
42,071320,2020.07.29,57
43,071320,2020-07-29,55
44,071320,2020.07.27,59
45,071320,2020-07-24,89
46,071320,2020-07-22,28
47,071320,2020.07.21,34
48,071320,2020-07-21,81
49,071320,2020.07.20,73
50,071320,2020-07-18,50
51,071320,2020.07.15,93
52,071320,2020-07-09,42
53,071320,2020-07-08,92
54,071320,2020.07.06,61
55,071320,2020-07-03,82
56,071320,2020-07-02,64
57,071320,2020-06-27,66
