,thema,date,score
0,036460,2020-12-24,29
1,036460,2020-12-23,75
2,036460,2020-12-22,90
3,036460,2020.12.21,89
4,036460,2020-12-21,87
5,036460,2020-12-17,89
6,036460,2020-12-16,77
7,036460,2020.12.15,71
8,036460,2020-12-15,72
9,036460,2020.12.14,46
10,036460,2020-12-14,50
11,036460,2020-12-11,75
12,036460,2020.12.10,83
13,036460,2020-12-10,82
14,036460,2020-12-09,27
15,036460,2020-12-08,42
16,036460,2020.12.07,80
17,036460,2020-12-06,26
18,036460,2020.12.05,35
19,036460,2020-12-04,96
20,036460,2020-12-02,84
21,036460,2020.12.01,78
22,036460,2020-11-27,62
23,036460,2020-11-26,48
24,036460,2020.11.25,71
25,036460,2020-11-23,30
26,036460,2020.11.21,86
27,036460,2020-11-21,88
28,036460,2020.11.20,87
29,036460,2020-11-19,83
30,036460,2020.11.18,72
31,036460,2020-11-18,83
32,036460,2020-11-17,15
33,036460,2020-11-15,12
34,036460,2020-11-14,32
35,036460,2020.11.13,56
36,036460,2020-11-13,96
37,036460,2020-11-12,9
38,036460,2020-11-10,17
39,036460,2020-11-07,31
40,036460,2020-11-06,21
41,036460,2020-11-04,92
42,036460,2020.10.31,64
43,036460,2020-10-31,66
44,036460,2020.10.30,50
45,036460,2020-10-30,50
46,036460,2020-10-28,77
47,036460,2020.10.27,66
48,036460,2020-10-27,74
49,036460,2020-10-24,35
50,036460,2020-10-23,66
51,036460,2020-10-21,46
52,036460,2020.10.20,51
53,036460,2020.10.19,90
54,036460,2020-10-19,83
55,036460,2020-10-17,74
56,036460,2020-10-16,74
57,036460,2020.10.15,0
58,036460,2020-10-15,42
59,036460,2020.10.14,73
60,036460,2020-10-14,81
61,036460,2020.10.13,72
62,036460,2020-10-13,90
63,036460,2020-10-12,49
64,036460,2020-10-11,76
65,036460,2020-10-10,80
66,036460,2020-10-08,45
67,036460,2020-10-07,85
68,036460,2020-10-05,83
69,036460,2020.10.04,45
70,036460,2020-10-03,85
71,036460,2020-09-29,84
72,036460,2020.09.27,25
73,036460,2020.09.25,80
74,036460,2020-09-25,79
75,036460,2020-09-23,31
76,036460,2020-09-19,66
77,036460,2020-09-16,82
78,036460,2020.09.15,75
79,036460,2020-09-15,82
80,036460,2020-09-14,80
81,036460,2020-09-05,53
82,036460,2020-09-03,55
83,036460,2020-09-02,95
84,036460,2020-09-01,85
85,036460,2020.08.31,60
86,036460,2020.08.28,74
87,036460,2020-08-28,85
88,036460,2020-08-26,66
89,036460,2020.08.25,56
90,036460,2020.08.21,85
91,036460,2020.08.20,37
92,036460,2020-08-20,80
93,036460,2020.08.18,46
94,036460,2020.08.15,43
95,036460,2020-08-15,41
96,036460,2020.08.05,51
97,036460,2020.08.03,74
98,036460,2020.07.30,81
99,036460,2020-07-29,88
100,036460,2020-07-28,59
101,036460,2020-07-22,50
102,036460,2020-07-02,57
103,036460,2020.07.15,87
104,036460,2020-07-16,92
105,036460,2020-07-15,89
106,036460,2020.07.06,61
107,036460,2020.07.01,53
108,036460,2020.06.25,97
109,036460,2020.06.26,69
110,036460,2020-06-25,94
