,thema,date,score
0,009290,2020-12-22,81
1,009290,2020-12-18,80
2,009290,2020-12-17,64
3,009290,2020-12-16,68
4,009290,2020-12-15,74
5,009290,2020-12-12,77
6,009290,2020-12-11,69
7,009290,2020-12-10,61
8,009290,2020-12-09,64
9,009290,2020-12-02,84
10,009290,2020-12-01,50
11,009290,2020.11.26,98
12,009290,2020-11-26,46
13,009290,2020-11-20,45
14,009290,2020-11-19,47
15,009290,2020-11-17,50
16,009290,2020-11-14,37
17,009290,2020-11-13,73
18,009290,2020-11-11,63
19,009290,2020-11-10,67
20,009290,2020-11-05,69
21,009290,2020-11-03,90
22,009290,2020-10-28,56
23,009290,2020-10-24,85
24,009290,2020-10-23,63
25,009290,2020-10-17,58
26,009290,2020.10.15,89
27,009290,2020-10-14,54
28,009290,2020.10.12,76
29,009290,2020-10-08,73
30,009290,2020.10.07,88
31,009290,2020-10-07,85
32,009290,2020-09-30,77
33,009290,2020-09-26,50
34,009290,2020-09-25,30
35,009290,2020-09-23,21
36,009290,2020-09-22,86
37,009290,2020-09-18,57
38,009290,2020.09.17,82
39,009290,2020-09-16,63
40,009290,2020-09-10,53
41,009290,2020-09-04,94
42,009290,2020-08-26,80
43,009290,2020-08-25,71
44,009290,2020-08-22,88
45,009290,2020-08-21,87
46,009290,2020-08-12,80
47,009290,2020-08-06,50
48,009290,2020.07.29,54
49,009290,2020-07-30,84
50,009290,2020-07-28,81
51,009290,2020-07-24,74
52,009290,2020-07-23,83
53,009290,2020-07-22,85
54,009290,2020-07-21,68
55,009290,2020.07.20,85
56,009290,2020-07-17,71
57,009290,2020-07-11,60
58,009290,2020.07.08,56
