,thema,date,score
0,000020,2020.12.08,91
1,000020,2020.12.07,79
2,000020,2020-12-04,78
3,000020,2020-12-02,89
4,000020,2020.11.30,70
5,000020,2020-11-28,83
6,000020,2020-11-27,69
7,000020,2020-11-26,88
8,000020,2020-11-25,100
9,000020,2020-11-24,95
10,000020,2020.11.18,76
11,000020,2020-11-06,77
12,000020,2020.11.04,82
13,000020,2020-10-08,90
14,000020,2020-09-04,83
15,000020,2020.09.02,66
16,000020,2020-08-20,50
17,000020,2020-08-05,60
18,000020,2020.07.31,50
19,000020,2020-08-01,100
20,000020,2020.07.27,100
21,000020,2020.07.25,43
22,000020,2020-07-25,51
23,000020,2020-07-15,92
24,000020,2020-07-09,100
