Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,종목코드,회사명
2017-01-02,18943,19343,18609,19010,44211,-0.015535992,19436.8,19390.1,19311.65,18578.53333,18618.55,80160,모두투어
2017-01-03,19009,19276,18409,18410,75514,-0.031562336,19216.8,19253.4,19298.35,18578.53333,18614.38333,80160,모두투어
2017-01-04,18542,18976,18476,18910,56891,0.027159153,19063.4,19176.7,19306.7,18586.86667,18612.99167,80160,모두투어
2017-01-05,18876,19009,18676,18710,40403,-0.010576415,18870,19133.4,19310.05,18589.1,18611.60833,80160,모두투어
2017-01-06,18776,19676,18776,19510,60192,0.042757883,18910,19186.7,19316.7,18606.88333,18616.33333,80160,모두투어
2017-01-09,19310,19676,19143,19343,42864,-0.008559713,18976.6,19206.7,19298.35,18619.66667,18621.05833,80160,모두투어
2017-01-10,19243,19910,19243,19577,105027,0.0120974,19210,19213.4,19310.05,18638.56667,18626.9,80160,모두투어
2017-01-11,19810,19810,19443,19677,47116,0.005108035,19363.4,19213.4,19303.4,18653.01667,18633.01667,80160,모두투어
2017-01-12,19676,19810,19276,19644,36505,-0.001677085,19550.2,19210.1,19320.1,18668.03333,18639.13333,80160,모두투어
2017-01-13,19676,19776,19376,19610,38185,-0.001730808,19570.2,19240.1,19335.1,18684.15,18646.91667,80160,모두투어
2017-01-16,19576,19776,19410,19644,14924,0.001733809,19630.4,19303.5,19346.8,18702.5,18656.36667,80160,모두투어
2017-01-17,19810,19876,19543,19577,28247,-0.003410711,19630.4,19420.2,19336.8,18721.95,18669.70833,80160,모두투어
2017-01-18,19576,19876,19576,19810,30740,0.011901721,19657,19510.2,19343.45,18760.85,18684.71667,80160,모두투어
2017-01-19,19810,19910,19610,19677,24170,-0.006713781,19663.6,19606.9,19370.15,18788.65,18701.11667,80160,모두투어
2017-01-20,19576,19743,19209,19443,52679,-0.011892057,19630.2,19600.2,19393.45,18805.31667,18716.4,80160,모두투어
2017-01-23,19543,20343,19510,20311,158573,0.044643316,19763.6,19697,19451.85,18842.01667,18736.96667,80160,모두투어
2017-01-24,20177,20777,20177,20644,111963,0.016395057,19977,19803.7,19508.55,18891.48333,18758.64167,80160,모두투어
2017-01-25,20510,20677,20343,20644,74921,0,20143.8,19900.4,19556.9,18942.61667,18776.15,80160,모두투어
2017-01-26,20744,20777,20310,20644,54133,0,20337.2,20000.4,19605.25,18989.86667,18794.76667,80160,모두투어
2017-01-31,20777,21811,20777,21778,215317,0.054931215,20804.2,20217.2,19728.65,19050.45,18826.45,80160,모두투어
2017-02-01,21844,22144,21677,21845,82743,0.003076499,21111,20437.3,19870.4,19109.93333,18861.475,80160,모두투어
2017-02-02,21611,21978,21377,21411,104861,-0.019867247,21264.4,20620.7,20020.45,19162.18333,18891.20833,80160,모두투어
2017-02-03,21611,21978,21311,21878,133047,0.021811219,21511.2,20827.5,20168.85,19217.76667,18923.725,80160,모두투어
2017-02-06,22311,22444,21611,22312,192930,0.019837279,21844.8,21091,20348.95,19288.91667,18950.96667,80160,모두투어
2017-02-07,22511,22811,22011,22545,274114,0.010442811,21998.2,21401.2,20500.7,19361.73333,18982.925,80160,모두투어
2017-02-08,22545,22745,22111,22111,238490,-0.019250388,22051.4,21581.2,20639.1,19427.31667,19009.6,80160,모두투어
