Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count
2018-01-31,60200,60400,59100,60200,48744,0.003333333,60460,60310,60350,63581.66667,63755.83333,0,0
2018-02-01,60300,60600,59700,60100,28059,-0.00166113,60200,60390,60300,63443.33333,63706.66667,0,0
2018-02-02,60100,60900,60000,60900,48723,0.013311148,60240,60500,60290,63318.33333,63662.5,0,0
2018-02-05,60900,60900,59800,60300,33669,-0.009852217,60300,60520,60265,63225,63615.83333,0,0
2018-02-06,60000,60300,58600,59100,50493,-0.019900498,60120,60380,60190,63066.66667,63555,0,0
2018-02-07,59300,59400,53200,53200,140021,-0.099830795,58720,59590,59810,62808.33333,63445.83333,1,5
2018-02-08,53200,55100,53200,54000,54790,0.015037594,57500,58850,59490,62555,63343.33333,0,0
2018-02-09,53000,54800,52200,54200,65579,0.003703704,56160,58200,59180,62308.33333,63239.16667,0,6
2018-02-12,54000,54200,52500,53100,31133,-0.020295203,54720,57510,58865,62080,63125.83333,0,0
2018-02-13,52800,54900,52800,52800,96262,-0.005649718,53460,56790,58505,61858.33333,63024.16667,0,1
2018-02-14,52900,53400,51300,51700,46040,-0.020833333,53160,55940,58125,61623.33333,62919.16667,0,0
2018-02-19,52700,52700,51600,52100,26311,0.007736944,52780,55140,57765,61406.66667,62817.5,0,0
2018-02-20,51400,52800,51400,51800,35242,-0.005758157,52300,54230,57365,61165,62720,0,0
2018-02-21,51900,52900,51600,52600,17359,0.015444015,52200,53460,56990,60931.66667,62635,0,0
2018-02-22,52000,52500,51800,52400,26491,-0.003802281,52120,52790,56585,60696.66667,62547.5,0,0
2018-02-23,52600,53000,51600,52800,31028,0.007633588,52340,52750,56170,60475,62460.83333,0,0
2018-02-26,52000,53200,52000,53100,15192,0.005681818,52540,52660,55755,60255,62370.83333,0,0
2018-02-27,52900,53600,52600,53500,24016,0.007532957,52880,52590,55395,60045,62279.16667,0,1
2018-02-28,53100,53900,52700,53900,27768,0.007476636,53140,52670,55090,59846.66667,62183.33333,0,0
2018-03-02,53100,53600,51700,52000,34735,-0.035250464,53060,52590,54690,59610,62085,0,0
2018-03-05,51100,52500,51100,51300,18449,-0.013461538,52760,52550,54245,59361.66667,61980,0,0
2018-03-06,51400,51900,50900,51700,27580,0.007797271,52480,52510,53825,59128.33333,61880,0,0
2018-03-07,51300,51600,49150,49400,38246,-0.044487427,51660,52270,53250,58840,61760,0,0
2018-03-08,49450,49900,48850,49500,36368,0.002024291,50780,51960,52710,58586.66667,61644.16667,0,0
2018-03-09,49550,51900,49500,51700,32466,0.044444444,50720,51890,52340,58373.33333,61556.66667,0,0
2018-03-12,51700,51700,50400,51300,41233,-0.007736944,50720,51740,52245,58160,61457.5,0,0
2018-03-13,50500,51000,50100,50400,43809,-0.01754386,50460,51470,52065,57943.33333,61373.33333,-1,1
2018-03-14,50000,51200,50000,51000,20454,0.011904762,50780,51220,51905,57733.33333,61295.83333,0,0
2018-03-15,50400,52100,50400,52000,27396,0.019607843,51280,51030,51850,57560,61216.66667,0,0
2018-03-16,52000,52400,51400,51800,19175,-0.003846154,51300,51010,51800,57416.66667,61137.5,0,0
2018-03-19,51000,51800,50800,51100,15416,-0.013513514,51260,50990,51770,57213.33333,61042.5,0,0
2018-03-20,50900,51400,50000,50300,18930,-0.015655577,51240,50850,51680,57001.66667,60946.66667,0,0
2018-03-21,50300,50900,50100,50200,17038,-0.001988072,51080,50930,51600,56788.33333,60846.66667,1,1
2018-03-22,50300,52000,49600,51600,36765,0.027888446,51000,51140,51550,56601.66667,60758.33333,0,0
2018-03-23,50900,51000,49500,49550,27328,-0.039728682,50550,50925,51407.5,56364.16667,60649.58333,0,0
2018-03-26,50100,50100,48100,48750,19354,-0.016145308,50080,50670,51205,56120,60546.66667,1,1
2018-03-27,48800,50400,48800,49650,13882,0.018461538,49950,50595,51032.5,55864.16667,60453.75,0,0
2018-03-28,49350,50000,48300,49800,36275,0.003021148,49870,50475,50847.5,55649.16667,60367.91667,0,0
2018-03-29,49600,49600,48150,49350,33532,-0.009036145,49420,50210,50620,55426.66667,60261.66667,0,0
2018-03-30,49750,49750,48950,49300,7506,-0.001013171,49370,49960,50485,55206.66667,60156.66667,0,0
2018-04-02,48550,49950,48550,49150,10218,-0.003042596,49450,49765,50377.5,54990.83333,60041.25,0,0
2018-04-03,49150,49150,48200,48650,25229,-0.01017294,49250,49600,50225,54783.33333,59922.5,0,0
2018-04-04,48050,49400,48050,49050,25533,0.008221994,49100,49485,50207.5,54582.5,59814.58333,0,0
2018-04-05,49050,49750,48400,49250,24417,0.004077472,49080,49250,50195,54390,59712.5,0,0
2018-04-06,48900,49100,48050,48900,30526,-0.007106599,49000,49185,50055,54195,59610,1,1
2018-04-09,48750,48800,48200,48550,12044,-0.007157464,48880,49165,49917.5,53990.83333,59507.91667,0,0
2018-04-10,48000,48750,47800,48500,21686,-0.001029866,48850,49050,49822.5,53792.5,59398.75,0,0
2018-04-11,47800,49350,47800,49000,36082,0.010309278,48840,48970,49722.5,53602.5,59298.75,0,0
2018-04-12,49250,49250,48450,48450,14819,-0.01122449,48680,48880,49545,53420,59162.5,0,0
2018-04-13,48250,48350,47550,47550,35027,-0.018575851,48410,48705,49332.5,53212.5,59016.25,0,0
2018-04-16,47850,47950,47000,47650,18582,0.002103049,48230,48555,49160,53018.33333,58865.83333,0,0
