,thema,date,score
0,123420,2020-12-17,72
1,123420,2020-12-12,82
2,123420,2020-12-01,80
3,123420,2020-11-11,75
4,123420,2020.11.10,60
5,123420,2020-10-27,83
6,123420,2020-10-15,83
7,123420,2020-09-19,92
8,123420,2020-09-07,66
9,123420,2020-09-02,69
10,123420,2020.08.28,88
11,123420,2020.08.21,87
12,123420,2020.08.12,75
13,123420,2020-08-12,83
14,123420,2020-08-05,93
15,123420,2020-08-02,71
16,123420,2020-06-30,100
17,123420,2020-07-13,86
18,123420,2020.07.04,97
19,123420,2020-07-03,91
20,123420,2020-07-01,97
21,123420,2020.06.25,90
