,thema,date,score
0,069080,2020.12.17,91
1,069080,2020-12-11,92
2,069080,2020-12-09,80
3,069080,2020.12.04,87
4,069080,2020-12-04,76
5,069080,2020.12.01,91
6,069080,2020.11.30,83
7,069080,2020-11-28,100
8,069080,2020.11.19,92
9,069080,2020.11.09,88
10,069080,2020-11-07,90
11,069080,2020-11-06,70
12,069080,2020.11.04,82
13,069080,2020-11-02,85
14,069080,2020-10-29,38
15,069080,2020.10.21,84
16,069080,2020-10-20,75
17,069080,2020.10.06,87
18,069080,2020-10-05,77
19,069080,2020.09.29,91
20,069080,2020-09-25,91
21,069080,2020.09.21,94
22,069080,2020-09-16,84
23,069080,2020.09.15,94
24,069080,2020-09-11,88
25,069080,2020.09.10,68
26,069080,2020-09-07,66
27,069080,2020.09.03,90
28,069080,2020.09.02,89
29,069080,2020-08-29,40
30,069080,2020-08-28,95
31,069080,2020.08.25,89
32,069080,2020-08-25,98
33,069080,2020.08.10,50
34,069080,2020-08-08,74
35,069080,2020-08-04,87
36,069080,2020-07-31,96
37,069080,2020.07.28,92
38,069080,2020.07.27,90
39,069080,2020-07-04,72
40,069080,2020-07-22,86
41,069080,2020.07.20,69
42,069080,2020-07-17,94
43,069080,2020-07-13,86
44,069080,2020-07-10,89
45,069080,2020.07.08,95
46,069080,2020-07-06,92
47,069080,2020-07-03,97
