,thema,date,score
0,095660,2020-12-25,81
1,095660,2020.12.18,84
2,095660,2020-12-04,70
3,095660,2020.11.19,92
4,095660,2020-11-19,96
5,095660,2020.11.11,61
6,095660,2020-11-11,63
7,095660,2020-10-23,100
8,095660,2020-10-22,45
9,095660,2020.10.14,70
10,095660,2020-10-14,77
11,095660,2020-10-13,88
12,095660,2020-10-06,68
13,095660,2020-10-05,77
14,095660,2020-09-25,91
15,095660,2020.09.18,94
16,095660,2020.09.15,62
17,095660,2020-09-15,64
18,095660,2020.09.11,70
19,095660,2020-09-11,77
20,095660,2020.09.10,68
21,095660,2020.09.07,71
22,095660,2020-09-07,86
23,095660,2020-08-31,83
24,095660,2020.08.12,81
25,095660,2020.08.11,44
26,095660,2020-08-11,46
27,095660,2020-08-05,69
28,095660,2020-07-30,65
29,095660,2020.07.20,69
30,095660,2020.07.15,76
31,095660,2020.07.07,77
