,thema,date,score
0,064260,2020-12-17,92
1,064260,2020.12.10,55
2,064260,2020-12-10,12
3,064260,2020.12.08,77
4,064260,2020-12-03,75
5,064260,2020-11-20,93
6,064260,2020-11-13,88
7,064260,2020.11.12,89
8,064260,2020-11-03,84
9,064260,2020-10-20,93
10,064260,2020-10-15,42
11,064260,2020.09.24,91
12,064260,2020-09-19,93
13,064260,2020-09-18,71
14,064260,2020-09-10,50
15,064260,2020.09.08,59
16,064260,2020.09.01,82
17,064260,2020-08-02,93
18,064260,2020-08-01,93
19,064260,2020-07-23,57
20,064260,2020-06-26,50
