,thema,date,score
0,217270,2020.12.24,75
1,217270,2020-12-21,75
2,217270,2020-12-19,25
3,217270,2020.12.18,91
4,217270,2020-12-18,62
5,217270,2020.12.16,76
6,217270,2020-12-16,77
7,217270,2020.12.04,91
8,217270,2020-12-04,80
9,217270,2020-12-03,78
10,217270,2020.12.01,92
11,217270,2020-12-01,50
12,217270,2020-11-17,85
13,217270,2020.10.23,88
14,217270,2020-10-17,63
15,217270,2020.10.10,66
16,217270,2020.10.09,82
17,217270,2020-09-25,90
18,217270,2020.09.17,83
19,217270,2020-09-16,84
20,217270,2020-09-02,69
21,217270,2020-09-01,75
22,217270,2020-07-02,88
