,thema,date,score
0,078340,2020.12.17,64
1,078340,2020-12-17,74
2,078340,2020-12-16,70
3,078340,2020.12.10,92
4,078340,2020-12-08,70
5,078340,2020.12.06,83
6,078340,2020.12.05,78
7,078340,2020.12.04,71
8,078340,2020-12-04,80
9,078340,2020.12.03,83
10,078340,2020-12-03,81
11,078340,2020.11.30,97
12,078340,2020.11.27,95
13,078340,2020.11.26,93
14,078340,2020.11.24,85
15,078340,2020-11-21,89
16,078340,2020.11.14,81
17,078340,2020.11.12,81
18,078340,2020.10.31,100
19,078340,2020-10-30,94
20,078340,2020.10.21,69
21,078340,2020-10-20,81
22,078340,2020.10.13,85
23,078340,2020-10-13,92
24,078340,2020.10.12,90
25,078340,2020-10-06,90
26,078340,2020.09.26,95
27,078340,2020-09-25,100
28,078340,2020-09-23,100
29,078340,2020.09.19,81
30,078340,2020.09.15,92
31,078340,2020-09-15,78
32,078340,2020-09-11,77
33,078340,2020.09.04,75
34,078340,2020.08.25,89
35,078340,2020-08-20,83
36,078340,2020.08.15,87
37,078340,2020-08-14,76
38,078340,2020.08.12,81
39,078340,2020-08-12,83
40,078340,2020.08.11,88
41,078340,2020-08-05,73
42,078340,2020.08.04,52
43,078340,2020-07-25,93
44,078340,2020-07-24,95
45,078340,2020.07.22,92
46,078340,2020-07-21,90
47,078340,2020.07.17,90
48,078340,2020.07.16,95
49,078340,2020-07-16,100
50,078340,2020.07.15,100
51,078340,2020.07.14,73
52,078340,2020.07.13,82
53,078340,2020-07-11,87
54,078340,2020.07.10,90
55,078340,2020-07-10,71
56,078340,2020.07.08,87
57,078340,2020.07.07,84
58,078340,2020-07-07,72
59,078340,2020.07.06,79
60,078340,2020-07-02,90
61,078340,2020.06.30,86
62,078340,2020.06.29,85
63,078340,2020.06.28,72
64,078340,2020-06-26,100
