,thema,date,score
0,192080,2020-12-19,50
1,192080,2020-12-04,90
2,192080,2020.10.30,73
3,192080,2020.10.29,76
4,192080,2020-10-14,84
5,192080,2020.09.04,87
6,192080,2020.09.03,73
7,192080,2020.08.31,87
8,192080,2020-08-20,72
9,192080,2020-08-14,76
10,192080,2020.08.07,88
11,192080,2020.07.25,83
12,192080,2020.07.24,78
13,192080,2020.07.23,83
14,192080,2020-07-01,90
15,192080,2020.07.20,69
16,192080,2020.07.11,75
17,192080,2020.07.10,56
18,192080,2020-07-08,83
19,192080,2020-07-07,53
20,192080,2020-07-03,50
21,192080,2020.07.02,58
22,192080,2020-07-02,56
23,192080,2020.07.01,78
24,192080,2020.06.30,96
25,192080,2020.06.29,80
26,192080,2020.06.25,71
27,192080,2020-06-25,80
28,192080,2020.06.24,78
