,thema,date,score
0,088800,2020-12-22,50
1,088800,2020.12.21,70
2,088800,2020-11-26,57
3,088800,2020-11-13,100
4,088800,2020-11-09,65
5,088800,2020.11.06,87
6,088800,2020-11-05,77
7,088800,2020.11.04,92
8,088800,2020-10-24,61
9,088800,2020.10.21,81
10,088800,2020-09-25,20
11,088800,2020.09.21,71
12,088800,2020.09.18,91
13,088800,2020-09-10,75
14,088800,2020-09-08,59
15,088800,2020.09.07,65
16,088800,2020-09-02,72
17,088800,2020.08.28,72
18,088800,2020.08.27,77
19,088800,2020.08.23,56
20,088800,2020.08.20,56
21,088800,2020-08-20,58
22,088800,2020.08.12,100
23,088800,2020-08-10,89
24,088800,2020-08-08,75
25,088800,2020.07.22,66
26,088800,2020-06-30,71
27,088800,2020-07-17,94
28,088800,2020-07-14,60
29,088800,2020-07-09,0
30,088800,2020.07.03,72
31,088800,2020-07-03,50
32,088800,2020-06-27,79
33,088800,2020-06-26,72
34,088800,2020.06.25,79
