,thema,score,change
307,겨울,2,0
308,겨울,2,0
309,겨울,2,1
310,겨울,2,0
311,겨울,2,0
312,겨울,2,1
313,겨울,2,0
314,겨울,1,1
315,겨울,0,0
316,겨울,0,1
317,겨울,2,1
318,겨울,2,0
319,겨울,2,0
320,겨울,2,0
321,겨울,2,1
322,겨울,2,1
323,겨울,2,0
324,겨울,2,0
325,겨울,0,0
326,겨울,1,0
327,겨울,2,1
328,겨울,2,1
329,겨울,2,1
330,겨울,0,1
331,겨울,0,0
332,겨울,2,0
333,겨울,2,1
334,겨울,2,1
335,겨울,2,1
336,겨울,2,0
337,겨울,1,0
338,겨울,2,1
339,겨울,0,1
340,겨울,2,1
341,겨울,2,0
342,겨울,2,0
343,겨울,2,0
344,겨울,0,0
345,겨울,1,0
346,겨울,2,0
347,겨울,0,0
348,겨울,0,1
349,겨울,0,0
350,겨울,2,0
351,겨울,1,0
352,겨울,1,0
353,겨울,2,0
354,겨울,2,1
355,겨울,2,1
356,겨울,2,0
357,겨울,0,1
358,겨울,1,0
359,겨울,2,1
360,겨울,2,1
361,겨울,2,1
362,겨울,0,1
363,겨울,0,1
364,겨울,2,0
365,겨울,2,0
366,겨울,2,1
367,겨울,2,1
368,겨울,1,0
369,겨울,0,1
370,겨울,2,1
371,겨울,2,1
372,겨울,2,1
373,겨울,2,1
374,겨울,2,1
375,겨울,0,1
376,겨울,2,1
377,겨울,2,1
378,겨울,2,1
379,겨울,2,1
380,겨울,1,1
381,겨울,2,1
382,겨울,2,1
383,겨울,2,0
384,겨울,2,1
385,겨울,2,1
386,겨울,2,0
387,겨울,1,1
388,겨울,2,1
389,겨울,2,1
390,겨울,2,1
391,겨울,0,0
392,겨울,0,0
393,겨울,2,1
394,겨울,2,0
395,겨울,2,0
396,겨울,2,0
397,겨울,2,0
398,겨울,1,1
399,겨울,2,1
400,겨울,2,1
401,겨울,2,1
402,겨울,2,1
403,겨울,2,0
404,겨울,1,0
405,겨울,2,1
406,겨울,0,1
407,겨울,2,1
408,겨울,2,1
409,겨울,2,1
410,겨울,0,1
411,겨울,2,0
412,겨울,1,0
413,겨울,2,0
414,겨울,2,1
415,겨울,2,1
416,겨울,1,0
417,겨울,2,0
418,겨울,2,0
419,겨울,1,0
420,겨울,1,0
421,겨울,2,0
422,겨울,2,1
423,겨울,2,1
424,겨울,2,0
425,겨울,2,0
426,겨울,0,0
427,겨울,2,0
428,겨울,0,1
429,겨울,2,0
430,겨울,2,0
431,겨울,2,1
432,겨울,2,1
433,겨울,2,0
434,겨울,2,1
435,겨울,0,1
436,겨울,0,1
437,겨울,2,0
438,겨울,2,0
439,겨울,2,1
440,겨울,2,1
441,겨울,2,0
442,겨울,2,1
443,겨울,2,0
444,겨울,2,1
445,겨울,2,0
446,겨울,2,1
447,겨울,2,0
448,겨울,2,0
449,겨울,2,0
450,겨울,2,1
451,겨울,2,1
452,겨울,2,0
453,겨울,2,1
454,겨울,2,0
455,겨울,2,0
456,겨울,2,0
457,겨울,2,1
458,겨울,2,1
459,겨울,2,1
460,겨울,2,1
461,겨울,2,0
462,겨울,2,0
463,겨울,2,0
464,겨울,2,0
465,겨울,2,1
466,겨울,2,1
467,겨울,2,0
468,겨울,2,0
469,겨울,2,1
470,겨울,2,0
471,겨울,2,0
472,겨울,2,1
473,겨울,2,1
474,겨울,2,1
475,겨울,0,1
476,겨울,1,1
477,겨울,1,1
478,겨울,2,1
479,겨울,0,1
480,겨울,0,0
481,겨울,1,1
482,겨울,2,0
483,겨울,2,1
484,겨울,2,1
485,겨울,2,0
486,겨울,0,0
487,겨울,1,0
488,겨울,2,1
489,겨울,0,0
490,겨울,2,1
491,겨울,2,1
492,겨울,2,1
493,겨울,2,0
494,겨울,2,0
495,겨울,2,0
496,겨울,1,1
497,겨울,2,1
498,겨울,2,0
499,겨울,2,0
500,겨울,2,1
501,겨울,2,1
502,겨울,1,0
503,겨울,0,0
504,겨울,2,0
505,겨울,2,0
506,겨울,2,0
507,겨울,1,0
508,겨울,1,1
509,겨울,2,1
510,겨울,2,1
511,겨울,2,1
512,겨울,2,0
513,겨울,2,1
514,겨울,2,0
515,겨울,2,1
516,겨울,2,1
517,겨울,2,0
518,겨울,2,1
519,겨울,2,0
520,겨울,2,1
521,겨울,2,0
522,겨울,2,0
523,겨울,2,0
524,겨울,2,0
525,겨울,2,0
526,겨울,2,0
527,겨울,2,1
528,겨울,2,1
529,겨울,2,0
530,겨울,2,0
531,겨울,2,1
532,겨울,2,0
533,겨울,2,1
534,겨울,2,1
535,겨울,2,0
536,겨울,1,0
537,겨울,2,0
538,겨울,1,1
539,겨울,1,1
540,겨울,2,0
541,겨울,2,1
542,겨울,2,1
543,겨울,2,0
544,겨울,2,0
545,겨울,2,0
546,겨울,2,1
547,겨울,0,0
548,겨울,2,1
549,겨울,2,0
550,겨울,1,0
551,겨울,1,1
552,겨울,2,0
553,겨울,2,1
554,겨울,1,1
555,겨울,2,0
556,겨울,2,1
557,겨울,0,1
558,겨울,2,1
559,겨울,2,1
560,겨울,2,1
561,겨울,2,0
562,겨울,2,0
563,겨울,2,0
564,겨울,2,1
565,겨울,2,0
566,겨울,2,1
567,겨울,2,0
568,겨울,2,1
569,겨울,2,0
570,겨울,2,1
571,겨울,2,1
572,겨울,1,0
573,겨울,2,1
574,겨울,0,1
575,겨울,0,1
576,겨울,1,0
577,겨울,1,0
578,겨울,2,0
579,겨울,2,0
580,겨울,2,0
581,겨울,2,1
582,겨울,2,1
583,겨울,1,1
584,겨울,2,0
585,겨울,2,0
586,겨울,1,1
587,겨울,2,1
588,겨울,2,0
589,겨울,2,1
590,겨울,2,1
591,겨울,0,1
592,겨울,0,1
593,겨울,2,0
594,겨울,1,1
595,겨울,2,0
596,겨울,2,0
597,겨울,1,1
598,겨울,2,0
599,겨울,2,1
600,겨울,2,0
601,겨울,2,0
602,겨울,1,1
603,겨울,2,0
604,겨울,2,1
605,겨울,2,1
606,겨울,2,0
607,겨울,2,1
608,겨울,2,1
609,겨울,2,0
610,겨울,2,1
611,겨울,2,0
612,겨울,2,0
613,겨울,2,1
614,겨울,2,1
615,겨울,2,1
616,겨울,0,0
617,겨울,2,0
618,겨울,2,0
619,자율주행차,2,1
620,자율주행차,0,0
621,자율주행차,1,1
622,자율주행차,2,0
623,자율주행차,2,0
624,자율주행차,2,1
625,자율주행차,2,0
626,자율주행차,0,1
627,자율주행차,2,0
628,자율주행차,2,0
629,자율주행차,1,1
630,자율주행차,2,0
631,자율주행차,2,0
632,자율주행차,1,1
633,자율주행차,2,1
634,자율주행차,2,1
635,자율주행차,2,1
636,자율주행차,2,1
637,자율주행차,2,1
638,자율주행차,2,1
639,자율주행차,2,1
640,자율주행차,2,0
641,자율주행차,2,0
642,자율주행차,2,1
643,자율주행차,2,0
644,자율주행차,2,1
645,자율주행차,2,0
646,자율주행차,2,0
647,자율주행차,2,1
648,자율주행차,2,0
649,자율주행차,2,1
650,자율주행차,2,0
651,자율주행차,2,1
652,자율주행차,1,0
653,자율주행차,0,0
654,자율주행차,2,0
655,자율주행차,2,0
656,자율주행차,2,0
657,자율주행차,2,1
658,자율주행차,2,0
659,자율주행차,2,0
660,자율주행차,2,1
661,자율주행차,2,0
662,자율주행차,1,0
663,자율주행차,2,1
664,자율주행차,2,0
665,자율주행차,2,0
666,자율주행차,1,1
667,자율주행차,2,1
668,자율주행차,2,0
669,자율주행차,2,1
670,자율주행차,2,1
671,자율주행차,2,0
672,자율주행차,2,1
673,자율주행차,2,0
674,자율주행차,2,1
675,자율주행차,1,0
676,자율주행차,0,0
677,자율주행차,1,0
678,자율주행차,2,0
679,자율주행차,2,0
680,자율주행차,2,1
681,자율주행차,2,1
682,자율주행차,2,1
683,자율주행차,0,1
684,자율주행차,2,1
685,자율주행차,2,1
686,자율주행차,2,1
687,자율주행차,2,0
688,자율주행차,2,1
689,자율주행차,2,1
690,자율주행차,2,1
691,자율주행차,1,1
692,자율주행차,2,0
693,자율주행차,2,0
694,자율주행차,1,0
695,자율주행차,2,0
696,자율주행차,1,1
697,자율주행차,2,0
698,자율주행차,2,1
699,자율주행차,2,0
700,자율주행차,2,0
701,자율주행차,2,1
702,자율주행차,2,0
703,자율주행차,0,0
704,자율주행차,2,0
705,자율주행차,2,1
706,자율주행차,2,0
707,자율주행차,2,0
708,자율주행차,2,1
709,자율주행차,2,1
710,자율주행차,2,1
