,word,count
464,바이오,13
465,하락,13
466,증시,13
467,91,12
468,주주,12
469,이사,12
470,바,12
471,높이,12
472,통한,12
473,부,12
474,율,12
475,상승세,12
476,C,12
477,친환경,12
478,물론,12
479,전력,12
480,바이러스,12
481,없,12
482,투자자,12
483,마감,12
484,텔레,12
485,칩스,12
486,독일,12
487,온,12
488,아니,12
489,협의회,12
490,장관,12
491,PIM,12
492,보,12
493,인공지능,12
494,보였,12
495,업종,12
496,IT,12
497,부사장,12
498,클라우드,12
499,기아차,12
500,공공,12
501,합병,12
502,때,11
503,위치,11
504,했으며,11
505,완료,11
506,시설,11
507,법인,11
508,핵심,11
509,200,11
510,B,11
511,조사,11
512,모두,11
513,보유,11
514,회,11
515,올,11
516,거래일,11
517,치,11
518,아이볼트,11
519,웨,11
520,많,11
521,내부,11
522,필요,11
523,GB,11
524,동기,11
525,본부,11
526,CEO,11
527,전문가,11
528,AI,11
529,트림,11
530,주목,11
531,27,11
532,우리,11
533,줄,11
534,화학,11
535,하이닉스,11
536,포인트,11
537,덧붙였,11
538,ADAS,11
539,스,11
540,인프라,11
541,제어,10
542,집중,10
543,점,10
544,한편,10
545,500,10
546,축소,10
547,동시,10
548,해결,10
549,오,10
550,한다는,10
551,70,10
552,21,10
553,가지,10
554,위,10
555,점유,10
556,현대차,10
557,그룹,10
558,에게,10
559,전용,10
560,14,10
561,엔,10
562,발전,10
563,달,10
564,베타,10
565,마쳤,10
566,급등,10
567,판단,10
568,새로운,10
569,S,10
570,밖,10
571,미,10
572,발굴,10
573,채용,10
574,메모리,10
575,최,10
576,에너지,10
577,칩,10
578,삼,10
579,적자,10
580,08,10
581,많이,10
582,현금,10
583,사장,10
584,스타트업,10
585,임대,10
586,미군,10
587,이종욱,9
588,분리,9
589,형태,9
590,방지,9
591,힘,9
592,티,9
593,조달,9
594,딜,9
595,였,9
596,50,9
597,감소,9
598,Z,9
599,동안,9
600,40,9
601,현지,9
602,동반,9
603,김희윤,9
604,무선,9
605,구매,9
606,선물,9
607,보상,9
608,22,9
609,해외,9
610,공동,9
611,2020,9
612,FSD,9
613,현대모비스,9
614,디스플레이,9
615,녹화,9
616,BAB,9
617,공유,9
618,확인,9
619,팔,9
620,네트워크,9
621,2022,9
622,1000,9
623,자회사,9
624,전장,9
625,반면,9
626,영향,9
627,손실,9
628,카카오,9
629,인터넷,9
630,삼성,9
631,씨,9
632,선,9
633,전무,9
634,AWS,9
635,지역,9
636,에이스,9
637,층,8
638,적층,8
639,시키,8
640,성과,8
641,인정받,8
642,목적,8
643,150,8
644,효과,8
645,첫,8
646,건,8
647,의미,8
648,병합,8
649,선도,8
650,커,8
651,자본,8
652,기술력,8
653,더욱,8
654,해당,8
655,오전,8
656,나가,8
657,대부분,8
658,회장,8
659,구입,8
660,외,8
661,소,8
662,운행,8
663,LED,8
664,용품,8
665,아울러,8
666,드,8
667,매출액,8
668,고려,8
669,조정,8
670,구현,8
671,앞,8
672,만족,8
673,반영,8
674,결과,8
675,넥스,8
676,3000,8
677,자동,8
678,저,8
679,비중,8
680,기본,8
681,18,8
682,세,8
683,개최,8
684,의견,8
685,개월,8
686,역량,8
687,출하량,8
688,해야,8
689,정책,8
690,소프트웨어,8
691,인력,8
692,곳,8
693,비용,8
694,앤,8
695,모바일,8
696,합니다,8
697,업무,8
698,이달,8
699,경기,8
700,사들였,8
701,MC,8
702,도와,8
703,㈜,8
704,품질,8
705,원격,8
706,플러스,8
707,주택,8
708,렌즈,8
709,베트남,8
710,모,7
711,국내외,7
712,갖,7
713,구성,7
714,이미,7
715,얻,7
716,금형,7
717,라는,7
718,검증,7
719,늘어날,7
720,재무,7
721,김준희,7
722,주로,7
723,zunii,7
724,무,7
725,부분,7
726,다시,7
727,%(,7
728,넘,7
729,비롯,7
730,상당,7
731,거치대,7
732,맞,7
733,시즌,7
734,지도,7
735,업데이트,7
736,새롭,7
737,신설,7
738,오픈,7
739,UV,7
740,공기,7
741,박스,7
742,관리,7
743,내비게이션,7
744,신종,7
745,감염증,7
746,일본,7
747,소비자,7
748,실시간,7
749,감사,7
750,론,7
751,75,7
752,엠씨,7
753,버,7
754,없이,7
755,란,7
756,는다,7
757,저장,7
758,이동,7
759,보조,7
760,TCe,7
761,소방관,7
762,오후,7
763,참석,7
764,인해,7
765,켐,7
766,변화,7
767,주도,7
768,2021,7
769,안,7
770,프로젝트,7
771,기기,7
772,절감,7
773,매수세,7
774,원가,7
775,에프,7
776,필,7
777,트리,7
778,케어,7
779,이유,7
780,무려,7
781,KB,7
782,SW,7
783,퓨처,7
784,갓,7
785,익,7
786,협약,7
787,구축,7
788,주력,7
789,SDC,7
790,기아,7
791,테,7
792,반사,7
793,트럼프,7
794,서진,7
795,풍력,7
796,방법,6
797,분배,6
798,양극판,6
799,음극판,6
800,막,6
801,통합,6
802,선임,6
803,스모,6
804,배정,6
805,납입,6
806,마련,6
807,재개,6
808,높였,6
809,가량,6
810,제고,6
811,커팅,6
812,28,6
813,커터,6
814,300,6
815,상태,6
816,불,6
817,GWh,6
818,발행,6
