,word,count
455,우선,196
456,한다고,195
457,가치,195
458,활용,195
459,3000,195
460,란,195
461,50,193
462,제안,193
463,역할,193
464,다른,192
465,모든,190
466,지난달,190
467,혜택,190
468,부지,190
469,여부,189
470,증가,189
471,더욱,188
472,유동,188
473,딜,188
474,률,187
475,협상,187
476,부채,186
477,이스타항공,186
478,이사,185
479,대형,185
480,감자,185
481,경영진,185
482,에어,184
483,쿠폰,184
484,재편,184
485,국적,184
486,채권,183
487,목적,183
488,대응,183
489,뒤,182
490,제품,181
491,노력,181
492,14,180
493,전환,179
494,문화,179
495,호텔,178
496,왔,178
497,온,176
498,공급,176
499,체결,176
500,협회,175
501,보이,174
502,는다,173
503,에선,173
504,브랜드,173
505,분쟁,173
506,성공,172
507,가장,172
508,수익,172
509,중국,171
510,특별,171
511,개편,171
512,서울시,171
513,반면,170
514,다음,170
515,점유,170
516,13,169
517,진에어,169
518,는데,169
519,영향,169
520,승인,169
521,상대,168
522,비율,168
523,좌석,168
524,별,167
525,열,167
526,이행,167
527,심사,167
528,불가피,166
529,정보,166
530,확인,166
531,가격,166
532,계약금,166
533,뮤지컬,166
534,나온다,165
535,주도,164
536,26,163
537,내용,163
538,현대,163
539,세,162
540,증권,162
541,100,162
542,또한,162
543,본격,162
544,합,162
545,앞,161
546,출발,160
547,담보,160
548,단,160
549,관심,160
550,손실,159
551,뿐,159
552,직접,158
553,공정,158
554,종목,157
555,비롯,157
556,거리,157
557,적극,156
558,첫,156
559,단계,156
560,적자,155
561,중단,155
562,인한,155
563,해외여행,155
564,편,155
565,시설,155
566,22,154
567,하락,153
568,외,153
569,사실,153
570,여객기,153
571,으며,152
572,요청,152
573,분야,152
574,승객,152
575,최고,152
576,기관,151
577,연말,151
578,국내선,151
579,성장,151
580,국제,151
581,공정위,151
582,이동걸,151
583,18,150
584,통한,150
585,올,150
586,알려졌,150
587,효과,150
588,이미,149
589,선정,149
590,생각,148
591,저,148
592,두산,147
593,초,147
594,△,147
595,일본,147
596,티켓,147
597,일반,146
598,기획,146
599,등급,146
600,면세점,146
601,참,146
602,건설,145
603,인해,145
604,비,145
605,물론,145
606,연장,144
607,극복,144
608,서,144
609,기내식,144
610,정비,144
611,홀딩스,143
612,씨,143
613,강,143
